"Date";"Date_UTC";"PoolName";"Currency";"Rate";"Balance";"Paid";"Earnings";"Value";"Balance_Sat";"Paid_Sat";"Earnings_Sat";"Value_Sat"
"01/09/2019 15:49:34";"01/09/2019 8:49:34";"ZergPool";"BTC";"1";"0,00020199";"0,00000000";"0,00000014";"0,00000014";"20199";"0";"14";"14"
"01/09/2019 16:49:38";"01/09/2019 9:49:38";"NLpool";"BTC";"1";"0,00010722";"0";"0,00000001";"0,00000001";"10722";"0";"1";"1"
"01/09/2019 16:49:38";"01/09/2019 9:49:38";"ZergPool";"BTC";"1";"0,00020205";"0,00000000";"0,00000020";"0,00000006";"20205";"0";"20";"6"
"01/09/2019 17:19:41";"01/09/2019 10:19:41";"ZergPool";"BTC";"1";"0,00020220";"0,00000000";"0,00000035";"0,00000015";"20220";"0";"35";"15"
"01/09/2019 18:49:50";"01/09/2019 11:49:50";"ZergPool";"BTC";"1";"0,00020221";"0,00000000";"0,00000036";"0,00000001";"20221";"0";"36";"1"
"01/09/2019 19:20:05";"01/09/2019 12:20:05";"NLpool";"BTC";"1";"0,00010721";"0";"0,00010722";"0,00010721";"10721";"0";"10722";"10721"
"01/09/2019 19:51:12";"01/09/2019 12:51:12";"NLpool";"BTC";"1";"0,00010722";"0";"0,00010723";"0,00000001";"10722";"0";"10723";"1"
"01/09/2019 19:51:12";"01/09/2019 12:51:12";"ZergPool";"BTC";"1";"0,00020251";"0,00000000";"0,00000066";"0,00000030";"20251";"0";"66";"30"
"01/09/2019 20:21:17";"01/09/2019 13:21:17";"ZergPool";"BTC";"1";"0,00020252";"0,00000000";"0,00000067";"0,00000001";"20252";"0";"67";"1"
"01/09/2019 20:52:31";"01/09/2019 13:52:31";"ZergPool";"BTC";"1";"0,00020263";"0,00000000";"0,00000078";"0,00000011";"20263";"0";"78";"11"
"01/09/2019 21:22:24";"01/09/2019 14:22:24";"NLpool";"BTC";"1";"0,00010723";"0";"0,00010724";"0,00000001";"10723";"0";"10724";"1"
"01/09/2019 21:22:24";"01/09/2019 14:22:24";"ZergPool";"BTC";"1";"0,00020280";"0,00000000";"0,00000095";"0,00000017";"20280";"0";"95";"17"
"01/09/2019 21:52:51";"01/09/2019 14:52:51";"NLpool";"BTC";"1";"0,00010726";"0";"0,00010727";"0,00000003";"10726";"0";"10727";"3"
"01/09/2019 21:52:51";"01/09/2019 14:52:51";"ZergPool";"BTC";"1";"0,00020295";"0,00000000";"0,00000110";"0,00000015";"20295";"0";"110";"15"
"01/09/2019 22:23:22";"01/09/2019 15:23:22";"NLpool";"BTC";"1";"0,00010746";"0";"0,00010747";"0,00000020";"10746";"0";"10747";"20"
"01/09/2019 22:23:22";"01/09/2019 15:23:22";"ZergPool";"BTC";"1";"0,00020300";"0,00000000";"0,00000115";"0,00000005";"20300";"0";"115";"5"
"01/09/2019 22:53:50";"01/09/2019 15:53:50";"NLpool";"BTC";"1";"0,00010782";"0";"0,00010783";"0,00000036";"10782";"0";"10783";"36"
"01/09/2019 22:53:50";"01/09/2019 15:53:50";"ZergPool";"BTC";"1";"0,00020324";"0,00000000";"0,00000139";"0,00000024";"20324";"0";"139";"24"
"01/09/2019 23:53:34";"01/09/2019 16:53:34";"FairPool";"WOW";"0";"1,714059797876";"3,189635132018";"0,000028133542";"0,000028133542";"0";"0";"0";"0"
"01/09/2019 23:53:34";"01/09/2019 16:53:34";"NLpool";"BTC";"1";"0,00010796";"0";"0,00010797";"0,00000014";"10796";"0";"10797";"14"
"01/09/2019 23:53:34";"01/09/2019 16:53:34";"ZergPool";"BTC";"1";"0,00020342";"0,00000000";"0,00000157";"0,00000018";"20342";"0";"157";"18"
"02/09/2019 0:23:48";"01/09/2019 17:23:48";"MinerRocks";"XHV";"33738,1916329285";"0,367566747315";"7,0007";"0,001468557122";"0,001468557122";"1089";"20750";"4";"4"
"02/09/2019 0:23:48";"01/09/2019 17:23:48";"SparkPool";"BEAM";"8710,80139372822";"0,08482742";"110,59543984";"0,00129820";"0,00129820";"974";"1269636";"15";"15"
"02/09/2019 0:23:48";"01/09/2019 17:23:48";"ZergPool";"BTC";"1";"0,00020349";"0,00000000";"0,00000164";"0,00000007";"20349";"0";"164";"7"
"02/09/2019 0:54:24";"01/09/2019 17:54:24";"FairPool";"WOW";"0";"1,714159756511";"3,189635132018";"0,000128092177";"0,000099958635";"0";"0";"0";"0"
"02/09/2019 0:54:24";"01/09/2019 17:54:24";"HeroMiners";"ARQ";"254599,976404385";"1,702942016";"3,9996";"0,013480302";"0,013480302";"669";"1571";"5";"5"
"02/09/2019 0:54:24";"01/09/2019 17:54:24";"MinerRocks";"XHV";"34566,1942620118";"0,377884552039";"7,0007";"0,011786361846";"0,010317804724";"1093";"20253";"34";"30"
"02/09/2019 0:54:24";"01/09/2019 17:54:24";"MiningRigRentals";"ETH";"56,8181818181818";"0,09318874";"0";"0,00315642";"0,00315642";"164012";"0";"5555";"5555"
"02/09/2019 0:54:24";"01/09/2019 17:54:24";"NLpool";"BTC";"1";"0,00010795";"0";"0,00021592";"0,00010795";"10795";"0";"21592";"10795"
"02/09/2019 1:24:54";"01/09/2019 18:24:54";"FairPool";"WOW";"0";"1,714188611127";"3,189635132018";"0,000156946793";"0,000028854616";"0";"0";"0";"0"
"02/09/2019 1:24:54";"01/09/2019 18:24:54";"MinerRocks";"XHV";"34566,1942620118";"0,384497905449";"7,0007";"0,018399715256";"0,006613353410";"1112";"20253";"53";"19"
"02/09/2019 1:24:54";"01/09/2019 18:24:54";"NLpool";"BTC";"1";"0,00010797";"0";"0,00021594";"0,00000002";"10797";"0";"21594";"2"
"02/09/2019 1:24:54";"01/09/2019 18:24:54";"ZergPool";"BTC";"1";"0,00020364";"0,00000000";"0,00000179";"0,00000015";"20364";"0";"179";"15"
"02/09/2019 1:55:54";"01/09/2019 18:55:54";"FairPool";"WOW";"0";"1,714217785314";"3,189635132018";"0,000186120980";"0,000029174187";"0";"0";"0";"0"
"02/09/2019 1:55:54";"01/09/2019 18:55:54";"MinerRocks";"XHV";"34566,1942620118";"0,388839197267";"7,0007";"0,022741007074";"0,004341291818";"1125";"20253";"66";"13"
"02/09/2019 1:55:54";"01/09/2019 18:55:54";"ZergPool";"BTC";"1";"0,00020366";"0,00000000";"0,00000181";"0,00000002";"20366";"0";"181";"2"
"02/09/2019 2:57:44";"01/09/2019 19:57:44";"ZergPool";"BTC";"1";"0,00020391";"0,00000000";"0,00000206";"0,00000025";"20391";"0";"206";"25"
"02/09/2019 3:58:26";"01/09/2019 20:58:26";"NLpool";"BTC";"1";"0,00010798";"0";"0,00021595";"0,00000001";"10798";"0";"21595";"1"
"02/09/2019 3:58:26";"01/09/2019 20:58:26";"ZergPool";"BTC";"1";"0,00020392";"0,00000000";"0,00000207";"0,00000001";"20392";"0";"207";"1"
"02/09/2019 4:29:01";"01/09/2019 21:29:01";"NLpool";"BTC";"1";"0,00010797";"0";"0,00032392";"0,00010797";"10797";"0";"32392";"10797"
"02/09/2019 4:59:46";"01/09/2019 21:59:46";"MinerRocks";"TRTL";"250000000";"16,56";"0";"2,27";"2,27";"7";"0";"1";"1"
"02/09/2019 5:30:28";"01/09/2019 22:30:28";"ZergPool";"BTC";"1";"0,00020403";"0,00000000";"0,00000218";"0,00000011";"20403";"0";"218";"11"
"02/09/2019 6:01:05";"01/09/2019 23:01:05";"ZergPool";"BTC";"1";"0,00020405";"0,00000000";"0,00000220";"0,00000002";"20405";"0";"220";"2"
"02/09/2019 6:31:38";"01/09/2019 23:31:38";"ZergPool";"BTC";"1";"0,00020412";"0,00000000";"0,00000227";"0,00000007";"20412";"0";"227";"7"
"02/09/2019 7:02:16";"02/09/2019 0:02:16";"CryptoKnight";"GRFT";"5882352,94117647";"1,9559036344";"0";"0,3897493808";"0,3897493808";"33";"0";"7";"7"
"02/09/2019 7:02:16";"02/09/2019 0:02:16";"ZergPool";"BTC";"1";"0,00020417";"0,00000000";"0,00000232";"0,00000005";"20417";"0";"232";"5"
"02/09/2019 7:32:56";"02/09/2019 0:32:56";"ZergPool";"BTC";"1";"0,00020420";"0,00000000";"0,00000235";"0,00000003";"20420";"0";"235";"3"
"02/09/2019 8:03:35";"02/09/2019 1:03:35";"ZergPool";"BTC";"1";"0,00020424";"0,00000000";"0,00000239";"0,00000004";"20424";"0";"239";"4"
"02/09/2019 8:33:47";"02/09/2019 1:33:47";"ZergPool";"BTC";"1";"0,00020431";"0,00000000";"0,00000246";"0,00000007";"20431";"0";"246";"7"
"02/09/2019 9:04:07";"02/09/2019 2:04:07";"ZergPool";"BTC";"1";"0,00020432";"0,00000000";"0,00000247";"0,00000001";"20432";"0";"247";"1"
"02/09/2019 9:34:51";"02/09/2019 2:34:51";"ZergPool";"BTC";"1";"0,00020437";"0,00000000";"0,00000252";"0,00000005";"20437";"0";"252";"5"
"02/09/2019 11:06:34";"02/09/2019 4:06:34";"ZergPool";"BTC";"1";"0,00020446";"0,00000000";"0,00000261";"0,00000009";"20446";"0";"261";"9"
"02/09/2019 12:37:24";"02/09/2019 5:37:24";"ZergPool";"BTC";"1";"0,00020447";"0,00000000";"0,00000262";"0,00000001";"20447";"0";"262";"1"
"02/09/2019 13:07:32";"02/09/2019 6:07:32";"ZergPool";"BTC";"1";"0,00020453";"0,00000000";"0,00000268";"0,00000006";"20453";"0";"268";"6"
"02/09/2019 15:08:39";"02/09/2019 8:08:39";"MinerRocks";"GRFT";"5882352,94117647";"12,5975702698";"0";"0,0472021440";"0,0472021440";"214";"0";"1";"1"
"02/09/2019 15:39:12";"02/09/2019 8:39:12";"ZergPool";"BTC";"1";"0,00020472";"0,00000000";"0,00000287";"0,00000019";"20472";"0";"287";"19"
"02/09/2019 16:09:22";"02/09/2019 9:09:22";"HeroMiners";"LOKI";"82644,6280991736";"0,097000965";"0";"0,000791528";"0,000791528";"117";"0";"1";"1"
"02/09/2019 16:09:22";"02/09/2019 9:09:22";"NLpool";"BTC";"1";"0,00010801";"0";"0,00032396";"0,00000004";"10801";"0";"32396";"4"
"02/09/2019 16:09:22";"02/09/2019 9:09:22";"ZergPool";"BTC";"1";"0,00020475";"0,00000000";"0,00000290";"0,00000003";"20475";"0";"290";"3"
"02/09/2019 16:40:39";"02/09/2019 9:40:39";"NLpool";"BTC";"1";"0,00010803";"0";"0,00032398";"0,00000002";"10803";"0";"32398";"2"
"02/09/2019 16:40:39";"02/09/2019 9:40:39";"SparkPoolGRIN_29";"GRIN";"5002,50125062531";"0,813810969";"5,245166488";"0,000534848";"0,000534848";"16268";"104851";"11";"11"
"02/09/2019 16:40:39";"02/09/2019 9:40:39";"SparkPool";"BEAM";"8000";"0,08667085";"110,59728327";"0,00498506";"0,00368686";"1083";"1382466";"62";"46"
"02/09/2019 17:11:11";"02/09/2019 10:11:11";"HeroMiners";"XWP";"74111,4517674981";"0,132396522622";"0";"0,002554894054";"0,002554894054";"179";"0";"3";"3"
"02/09/2019 17:11:11";"02/09/2019 10:11:11";"MinerRocks";"TUBE";"869565,217391304";"1,10931174";"248,8028";"0,01458066";"0,01458066";"128";"28612";"2";"2"
"02/09/2019 17:11:11";"02/09/2019 10:11:11";"MinerRocks";"XHV";"35460,9929078014";"0,390450565956";"7,0007";"0,024352375763";"0,001611368689";"1101";"19742";"69";"5"
"02/09/2019 17:11:11";"02/09/2019 10:11:11";"NLpool";"BTC";"1";"0,00010810";"0";"0,00032405";"0,00000007";"10810";"0";"32405";"7"
